#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
1C|AKWI||HHE|1.0368|36.30999|871.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-09-18T11:00:14|2013-12-31T23:59:59
1C|AKWI||HHN|1.0368|36.30999|871.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-09-18T11:00:14|2013-12-31T23:59:59
1C|AKWI||HHZ|1.0368|36.30999|871.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-09-18T11:00:14|2013-12-31T23:59:59
1C|ANR||HHE|-0.18225|36.244629|2730.0|0.0|90.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-09-04T00:00:00|2014-01-23T23:59:59
1C|ANR||HHN|-0.18225|36.244629|2730.0|0.0|0.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-09-04T00:00:00|2014-01-23T23:59:59
1C|ANR||HHZ|-0.18225|36.244629|2730.0|0.0|0.0|-90.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-09-04T00:00:00|2014-01-23T23:59:59
1C|BHT||HHE|-0.14386|36.157261|2118.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-08-28T00:00:00|2013-12-26T23:59:59
1C|BHT||HHN|-0.14386|36.157261|2118.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-08-28T00:00:00|2013-12-26T23:59:59
1C|BHT||HHZ|-0.14386|36.157261|2118.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-08-28T00:00:00|2013-12-26T23:59:59
1C|BLS||HHE|-0.11447|36.159859|2173.0|0.0|90.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-03-12T00:00:00|2014-01-04T23:59:59
1C|BLS||HHN|-0.11447|36.159859|2173.0|0.0|0.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-03-12T00:00:00|2014-01-04T23:59:59
1C|BLS||HHZ|-0.11447|36.159859|2173.0|0.0|0.0|-90.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-03-12T00:00:00|2014-01-04T23:59:59
1C|GSSH||HHE|-0.15948|36.23983|2711.0|0.0|90.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-09-03T00:00:00|2014-02-09T23:59:59
1C|GSSH||HHN|-0.15948|36.23983|2711.0|0.0|0.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-09-03T00:00:00|2014-02-09T23:59:59
1C|GSSH||HHZ|-0.15948|36.23983|2711.0|0.0|0.0|-90.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2012-09-03T00:00:00|2014-02-09T23:59:59
1C|KAPD||HHE|1.1852|36.105179|723.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2012-09-23T09:06:55|2014-01-03T23:59:59
