#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
3J|BBSX|01|BHE|30.32824|103.04621|840.5|0.0|90.0|0.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-22T09:24:42|2018-01-27T10:08:01
3J|BBSX|01|BHN|30.32824|103.04621|840.5|0.0|0.0|0.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-22T09:24:42|2018-01-27T10:08:01
3J|BBSX|01|BHZ|30.32824|103.04621|840.5|0.0|0.0|-90.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-22T09:24:42|2018-01-27T10:08:01
3J|BHGC|01|BHE|30.12775|103.16326|776.0|0.0|90.0|0.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-25T08:05:48|2017-12-06T02:40:03
3J|BHGC|01|BHN|30.12775|103.16326|776.0|0.0|0.0|0.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-25T08:05:48|2017-12-06T02:40:03
3J|BHGC|01|BHZ|30.12775|103.16326|776.0|0.0|0.0|-90.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-25T08:05:48|2017-12-06T02:40:03
3J|BJFC|01|BHE|30.01914|103.02261|666.0|0.0|90.0|0.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-26T04:12:57|2017-02-18T15:59:59
3J|BJFC|01|BHN|30.01914|103.02261|666.0|0.0|0.0|0.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-26T04:12:57|2017-02-18T15:59:59
3J|BJFC|01|BHZ|30.01914|103.02261|666.0|0.0|0.0|-90.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-26T04:12:57|2017-02-18T15:59:59
3J|BLHC|01|BHE|29.71326|103.24694|646.0|0.0|90.0|0.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-26T10:00:00|2018-01-31T02:00:08
3J|BLHC|01|BHN|29.71326|103.24694|646.0|0.0|0.0|0.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-26T10:00:00|2018-01-31T02:00:08
3J|BLHC|01|BHZ|29.71326|103.24694|646.0|0.0|0.0|-90.0|CMG-3ESP, 60 s, 1500 V/m/s-RT130, gain 1, 100 sps|938037000.0|0.05|m/s|100.0|2016-11-26T10:00:00|2018-01-31T02:00:08
3J|BLXC|01|BHE|30.17515|102.92073|700.4|0.0|90.0|0.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-23T04:00:31|2018-01-28T02:08:25
3J|BLXC|01|BHN|30.17515|102.92073|700.4|0.0|0.0|0.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-23T04:00:31|2018-01-28T02:08:25
3J|BLXC|01|BHZ|30.17515|102.92073|700.4|0.0|0.0|-90.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-23T04:00:31|2018-01-28T02:08:25
3J|BQYC|01|BHE|30.46657|103.14805|1195.3|0.0|90.0|0.0|EP-300, 120 s, 2000 V/m/s-DR4000, gain 1, 100 sps,|820744000.0|0.02|m/s|100.0|2016-11-24T03:19:38|2018-01-26T06:19:38
