#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
XE|ES37|02|BHZ|29.897274|93.514931|3363.0|0.0|0.0|-90.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-19T07:50:17|2004-12-31T23:59:59
XE|ES38|02|BHE|30.023499|92.965012|3656.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-18T09:00:03|2004-12-31T23:59:59
XE|ES38|02|BHN|30.023499|92.965012|3656.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-18T09:00:03|2004-12-31T23:59:59
XE|ES38|02|BHZ|30.023499|92.965012|3656.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-18T09:00:03|2004-12-31T23:59:59
XE|ES39|02|BHE|29.874603|92.621346|4054.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-20T11:14:51|2004-12-31T23:59:59
XE|ES39|02|BHN|29.874603|92.621346|4054.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-20T11:14:51|2004-12-31T23:59:59
XE|ES39|02|BHZ|29.874603|92.621346|4054.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-20T11:14:51|2004-12-31T23:59:59
XE|ES40|02|BHE|29.70685|92.148949|4248.0|0.0|90.0|0.0|CMG3T|786432000.0|5.0|M/S|40.0|2003-07-17T07:33:50|2004-07-16T11:57:11
XE|ES40|02|BHN|29.70685|92.148949|4248.0|0.0|0.0|0.0|CMG3T|786432000.0|5.0|M/S|40.0|2003-07-17T07:33:50|2004-07-16T11:57:11
XE|ES40|02|BHZ|29.70685|92.148949|4248.0|0.0|0.0|-90.0|CMG3T|786432000.0|5.0|M/S|40.0|2003-07-17T07:33:50|2004-07-16T11:57:11
XE|ES41|02|BHE|29.190275|91.759148|3569.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-17T05:10:50|2004-12-31T23:59:59
XE|ES41|02|BHN|29.190275|91.759148|3569.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-17T05:10:50|2004-12-31T23:59:59
XE|ES41|02|BHZ|29.190275|91.759148|3569.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-17T05:10:50|2004-12-31T23:59:59
XE|ES42|02|BHE|28.89852|91.942978|4181.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-18T06:05:47|2004-12-31T23:59:59
XE|ES42|02|BHN|28.89852|91.942978|4181.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-18T06:05:47|2004-12-31T23:59:59
XE|ES42|02|BHZ|28.89852|91.942978|4181.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-18T06:05:47|2004-12-31T23:59:59
XE|ES43|02|BHE|29.040613|92.22628|3994.0|0.0|90.0|0.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-19T03:42:13|2004-07-03T05:04:51
XE|ES43|02|BHN|29.040613|92.22628|3994.0|0.0|0.0|0.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-19T03:42:13|2004-07-03T05:04:51
XE|ES43|02|BHZ|29.040613|92.22628|3994.0|0.0|0.0|-90.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-19T03:42:13|2004-07-03T05:04:51
XE|ES44|02|BHE|29.068289|93.383568|3007.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-20T10:36:12|2004-12-31T23:59:59
XE|ES44|02|BHN|29.068289|93.383568|3007.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-20T10:36:12|2004-12-31T23:59:59
XE|ES44|02|BHZ|29.068289|93.383568|3007.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-20T10:36:12|2004-12-31T23:59:59
XE|ES44A|02|BHE|29.072145|93.38578|3022.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-10-16T06:20:40|2004-12-31T23:59:59
XE|ES44A|02|BHN|29.072145|93.38578|3022.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-10-16T06:20:40|2004-12-31T23:59:59
XE|ES44A|02|BHZ|29.072145|93.38578|3022.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-10-16T06:20:40|2004-12-31T23:59:59
XE|ES45|02|BHE|29.11672|93.781815|2981.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-21T07:31:42|2003-07-25T22:54:29
XE|ES45|02|BHE|29.11672|93.781815|2981.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-10-14T08:16:41|2004-12-31T23:59:59
XE|ES45|02|BHN|29.11672|93.781815|2981.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-21T07:31:42|2003-07-25T22:54:29
XE|ES45|02|BHN|29.11672|93.781815|2981.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|40.0|2003-10-14T08:16:41|2004-12-31T23:59:59
XE|ES45|02|BHZ|29.11672|93.781815|2981.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-07-21T07:31:42|2003-07-25T22:54:29
XE|ES45|02|BHZ|29.11672|93.781815|2981.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|40.0|2003-10-14T08:16:41|2004-12-31T23:59:59
XE|ES46|02|BHE|29.246466|94.25811|2912.0|0.0|90.0|0.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-22T03:57:07|2004-07-04T08:01:35
XE|ES46|02|BHN|29.246466|94.25811|2912.0|0.0|0.0|0.0|CMG3|1048580000.0|5.0|M/S|40.0|2003-07-22T03:57:07|2004-07-04T08:01:35
