#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
2F|DACUN||BHZ|30.49148|103.09669|1121.0|0.0|0.0|-90.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|DACUN||BHE|30.49148|103.09669|1121.0|0.0|90.0|0.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|DACUN||BHN|30.49148|103.09669|1121.0|0.0|0.0|0.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|GUYIZ||BHZ|30.40285|103.57865|472.0|0.0|0.0|-90.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|GUYIZ||BHE|30.40285|103.57865|472.0|0.0|90.0|0.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|GUYIZ||BHN|30.40285|103.57865|472.0|0.0|0.0|0.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|TAIHE||BHZ|30.24973|103.16795|620.0|0.0|0.0|-90.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|TAIHE||BHE|30.24973|103.16795|620.0|0.0|90.0|0.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
2F|TAIHE||BHN|30.24973|103.16795|620.0|0.0|0.0|0.0|GFZ:2F2012:Trillium-Compact/g=750|3072000000.0|1.0|M/S|50.0|2012-07-30T03:00:00|2013-10-08T01:53:00
