time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2016-12-31T05:21:21.180Z, 51.95190, 177.04890,  82.32, KILOMETER,   5.2, mb
2016-12-30T20:08:26.820Z, 37.37320, 141.45900,   9.09, KILOMETER,   5.1, mww
2016-12-30T07:10:05.390Z, 1.73580, 126.50280,  42.15, KILOMETER,   5.0, mb
2016-12-29T22:30:19.300Z, -9.02790, 118.66390,  79.00, KILOMETER,   6.3, mww
2016-12-28T14:24:24.570Z, -5.11690, 144.01100, 101.95, KILOMETER,   5.4, mb
2016-12-28T12:38:49.650Z, 36.86040, 140.44210,   7.00, KILOMETER,   5.9, mww
2016-12-28T04:31:00.490Z, -42.85700, 83.53050,  10.00, KILOMETER,   5.0, mb
2016-12-27T23:20:56.100Z, 45.71440, 26.52830,  97.00, KILOMETER,   5.6, mww
2016-12-26T01:23:37.880Z, 19.15240, 121.17430,  34.40, KILOMETER,   5.2, mb
2016-12-24T12:10:45.360Z, 20.84500, 144.78260,  10.00, KILOMETER,   5.2, mb
2016-12-24T11:30:12.010Z, 20.74440, 144.75550,  23.17, KILOMETER,   5.4, mb
2016-12-23T19:15:39.190Z, -0.24580, 124.47940,  73.18, KILOMETER,   5.0, mb
2016-12-23T17:25:02.600Z, 36.71640, 142.00230,  23.49, KILOMETER,   5.1, mb
2016-12-23T16:09:35.150Z, 9.95660, 126.27130,  54.22, KILOMETER,   5.1, mb
2016-12-23T01:01:03.390Z, 18.56190, 145.33940, 267.79, KILOMETER,   5.0, mb
2016-12-22T16:05:10.880Z, 55.21180, 164.71910,  36.10, KILOMETER,   5.2, mb
2016-12-22T03:02:29.290Z, 11.46760, 125.66990,  51.18, KILOMETER,   5.1, mb
2016-12-21T16:43:56.770Z, 21.51380, 145.40810,   8.00, KILOMETER,   5.9, mww
2016-12-21T00:17:14.990Z, -7.50820, 127.92060, 152.00, KILOMETER,   6.7, mww
2016-12-20T17:16:39.250Z, 16.09750, 119.59730,  56.75, KILOMETER,   5.0, mb
2016-12-20T13:51:17.200Z, 16.09030, 119.66520,  50.18, KILOMETER,   5.0, mb
2016-12-20T10:21:33.020Z, 3.65900, 126.59410,  39.82, KILOMETER,   5.0, mb
2016-12-20T10:04:39.360Z, 37.14420, 84.95830,  10.00, KILOMETER,   5.6, mww
2016-12-20T07:14:41.440Z, -6.38940, 130.64570,  81.28, KILOMETER,   5.1, mb
2016-12-19T20:44:40.140Z, 10.20400, 125.81680,  57.00, KILOMETER,   5.4, mwb
2016-12-19T16:41:12.080Z, 37.39890, 141.56120,  10.00, KILOMETER,   5.1, mww
2016-12-18T19:24:43.690Z, 5.41070, 94.61090,  50.68, KILOMETER,   5.3, mb
2016-12-18T09:47:06.130Z, 8.37250, 137.67360,  19.00, KILOMETER,   6.2, mww
2016-12-18T03:30:59.810Z, -29.21800, 61.13780,  10.00, KILOMETER,   5.1, mb
2016-12-17T21:17:36.660Z, 16.37460, 145.76460, 129.51, KILOMETER,   5.0, mb
2016-12-17T18:45:06.510Z, -29.21260, 61.14380,  10.00, KILOMETER,   5.1, mb
2016-12-17T09:30:38.130Z, 51.53320, 177.16790,  47.79, KILOMETER,   5.0, mb
2016-12-16T22:39:31.970Z, -3.12370, 139.08200,  49.25, KILOMETER,   5.1, mb
2016-12-15T01:29:26.520Z, -29.16210, 60.95700,  10.00, KILOMETER,   5.3, mb
2016-12-15T01:06:26.200Z, 10.23880, 126.12810,  73.62, KILOMETER,   5.1, mb
2016-12-14T21:14:55.870Z, 21.36970, 144.21750,  10.00, KILOMETER,   5.5, mww
2016-12-14T08:14:30.480Z, 38.58170, 90.04870,  10.00, KILOMETER,   5.1, mb
2016-12-14T02:01:22.810Z, 21.28970, 144.40370,  22.37, KILOMETER,   6.0, mww
2016-12-13T09:46:42.050Z, -2.34110, 133.84170,  38.66, KILOMETER,   5.1, mb
