time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2018-12-31T20:22:21.570Z, -17.44960, -174.85600, 219.42, KILOMETER,   5.0, mb
2018-12-31T14:10:25.440Z, 37.49040, 141.43370,  44.89, KILOMETER,   5.1, mww
2018-12-31T02:35:37.670Z, 54.42660, -161.51310,  31.00, KILOMETER,   6.0, mww
2018-12-31T00:29:32.250Z, 8.29950, 58.64730,  10.00, KILOMETER,   5.1, mb
2018-12-31T00:28:44.190Z, 8.20830, 58.66620,  10.00, KILOMETER,   5.2, mb
2018-12-30T08:39:12.450Z, -2.67700, 102.34900, 166.00, KILOMETER,   5.7, mww
2018-12-30T06:00:08.840Z, 8.15940, 58.65770,  10.00, KILOMETER,   5.0, mb
2018-12-29T19:08:30.410Z, 42.35130, 143.07900,  52.00, KILOMETER,   5.2, mww
2018-12-29T15:34:37.160Z, -5.66610, 151.69000,  48.41, KILOMETER,   5.1, mww
2018-12-29T08:15:26.540Z, 1.07740, 97.33820,  25.91, KILOMETER,   5.2, mb
2018-12-28T13:03:34.270Z, 44.24420, 148.52560,  58.44, KILOMETER,   5.1, mww
2018-12-27T05:39:12.190Z, -10.06850, 161.13600,  68.77, KILOMETER,   5.3, mww
2018-12-27T00:35:50.380Z, 23.38620, 94.56140,  90.96, KILOMETER,   5.0, mb
2018-12-26T23:36:20.710Z, -23.23520, -174.90550,  10.00, KILOMETER,   5.1, mb
2018-12-26T14:11:21.840Z, -17.27700, -174.01310, 120.00, KILOMETER,   5.7, mww
2018-12-26T03:23:54.270Z, -16.37760, 167.89400,  35.00, KILOMETER,   5.1, mb
2018-12-25T12:48:04.440Z, -30.40030, -177.12690,  10.00, KILOMETER,   5.0, mb
2018-12-25T09:46:10.450Z, 29.04500, 142.42940,  10.00, KILOMETER,   5.4, mb
2018-12-25T00:10:30.660Z, 34.03160, 141.61990,  10.00, KILOMETER,   5.3, mww
2018-12-24T13:12:12.380Z, -34.61940, 179.08080, 155.66, KILOMETER,   5.0, mb
2018-12-24T12:41:19.250Z, 55.34390, 164.50990,  10.00, KILOMETER,   6.1, mww
2018-12-24T10:41:39.890Z, 54.60700, 164.17420,  10.00, KILOMETER,   5.3, mww
2018-12-24T01:00:52.420Z, -20.11680, -175.21940,  78.30, KILOMETER,   5.0, mb
2018-12-24T00:43:11.310Z, 34.06190, 141.62260,   9.22, KILOMETER,   5.5, mww
2018-12-24T00:18:07.020Z, 34.07020, 141.69920,  13.04, KILOMETER,   5.6, mww
2018-12-23T23:08:43.440Z, -20.28550, -175.07100, 113.00, KILOMETER,   6.4, mww
2018-12-23T19:35:20.200Z, 30.46840, 86.79460,  10.00, KILOMETER,   5.0, mb
2018-12-23T19:32:22.060Z, 30.40790, 87.62000,  10.00, KILOMETER,   5.8, mww
2018-12-23T14:03:56.870Z, -0.47650, 99.73200,  98.03, KILOMETER,   5.0, mb
2018-12-23T10:09:20.800Z, -22.10280, 169.29360,  10.00, KILOMETER,   5.3, mb
2018-12-23T03:12:48.460Z, 54.93290, 164.68700,  10.00, KILOMETER,   5.0, mb
2018-12-22T14:25:01.180Z, -13.40000, 166.81510,  42.00, KILOMETER,   6.0, mww
2018-12-22T13:34:22.430Z, 55.21500, 164.62590,  10.00, KILOMETER,   5.3, mb
2018-12-22T13:29:46.980Z, 55.19320, 164.62880,  10.00, KILOMETER,   5.6, mww
2018-12-21T23:12:04.590Z, -3.47790, 152.04120, 348.44, KILOMETER,   5.0, mww
2018-12-21T22:24:34.050Z, -16.22540, 167.83570,  10.00, KILOMETER,   5.0, mb
2018-12-21T18:19:36.100Z, 55.26360, 164.46170,  18.06, KILOMETER,   5.5, mww
2018-12-21T16:24:16.970Z, 54.78400, 164.81680,  10.00, KILOMETER,   5.0, mww
2018-12-21T12:26:05.570Z, -5.48690, 152.10740,  23.71, KILOMETER,   5.3, mww
2018-12-21T08:30:15.230Z, -5.39270, 151.99090,  10.00, KILOMETER,   5.7, mww
2018-12-21T07:28:33.780Z, -5.66460, 152.43070,  10.00, KILOMETER,   5.0, mb
