#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
1C|ANR||HHE|-0.18225|36.244629|2730.0|0.0|90.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2011-04-29T11:20:00|2012-09-03T23:59:59
1C|ANR||HHN|-0.18225|36.244629|2730.0|0.0|0.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2011-04-29T11:20:00|2012-09-03T23:59:59
1C|ANR||HHZ|-0.18225|36.244629|2730.0|0.0|0.0|-90.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2011-04-29T11:20:00|2012-09-03T23:59:59
1C|BHT||HHE|-0.14386|36.157261|2118.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-03-18T11:03:43|2012-08-27T23:59:59
1C|BHT||HHN|-0.14386|36.157261|2118.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-03-18T11:03:43|2012-08-27T23:59:59
1C|BHT||HHZ|-0.14386|36.157261|2118.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-03-18T11:03:43|2012-08-27T23:59:59
1C|BLS||HHE|-0.11447|36.159859|2173.0|0.0|90.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2011-08-20T07:31:17|2012-03-11T23:59:59
1C|BLS||HHN|-0.11447|36.159859|2173.0|0.0|0.0|0.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2011-08-20T07:31:17|2012-03-11T23:59:59
1C|BLS||HHZ|-0.11447|36.159859|2173.0|0.0|0.0|-90.0|Guralp CMG40T_30sec/Reftek 130 Datalogger|509250000.0|0.7|M/S|100.0|2011-08-20T07:31:17|2012-03-11T23:59:59
1C|DIGR||HHE|-0.09644|35.98457|1700.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-06-03T07:27:35|2012-08-16T23:59:59
1C|DIGR||HHN|-0.09644|35.98457|1700.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-06-03T07:27:35|2012-08-16T23:59:59
1C|DIGR||HHZ|-0.09644|35.98457|1700.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-06-03T07:27:35|2012-08-16T23:59:59
1C|KIMU||HHE|-0.26634|36.024849|1946.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-03-21T15:45:00|2013-08-06T23:59:59
1C|KIMU||HHN|-0.26634|36.024849|1946.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-03-21T15:45:00|2013-08-06T23:59:59
1C|KIMU||HHZ|-0.26634|36.024849|1946.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Reftek 130 Datalogger|954889000.0|0.3|M/S|100.0|2011-03-21T15:45:00|2013-08-06T23:59:59
