#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
HE|KEF||BHN|62.1667|24.867|215.0|0.0|0.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|
HE|KEF||HHZ|62.1667|24.867|215.0|0.0|0.0|-90.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|
HE|KEF||BHE|62.1667|24.867|215.0|0.0|90.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|
HE|KEF||BHZ|62.1667|24.867|215.0|0.0|0.0|-90.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|
HE|KEF||HHE|62.1667|24.867|215.0|0.0|90.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|
HE|KEF||HHN|62.1667|24.867|215.0|0.0|0.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|
HE|SUF||BHN|62.7194|26.1474|185.0|0.0|0.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|2017-10-24T00:00:00
HE|SUF||HHZ|62.7194|26.1474|185.0|0.0|0.0|-90.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|2017-10-24T00:00:00
HE|SUF||BHE|62.7194|26.1474|185.0|0.0|90.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|2017-10-24T00:00:00
HE|SUF||BHZ|62.7194|26.1474|185.0|0.0|0.0|-90.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|2017-10-24T00:00:00
HE|SUF||HHE|62.7194|26.1474|185.0|0.0|90.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|2017-10-24T00:00:00
HE|SUF||HHN|62.7194|26.1474|185.0|0.0|0.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|2017-10-24T00:00:00
HE|VJF||BHN|60.5388|27.555|34.0|0.0|0.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|
HE|VJF||HHZ|60.5388|27.555|34.0|0.0|0.0|-90.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|
HE|VJF||BHE|60.5388|27.555|34.0|0.0|90.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|
HE|VJF||BHZ|60.5388|27.555|34.0|0.0|0.0|-90.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|20.0|2006-01-01T00:00:00|
HE|VJF||HHE|60.5388|27.555|34.0|0.0|90.0|0.0|GFZ:HE1980:STS-2/N/g=1500|1500000000.0|0.02|M/S|100.0|2006-01-01T00:00:00|
