#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
KZ|KUR||BHE|50.714901|78.620796|240.0|0.0|90.0|0.0|STS2|25323000000.0|5.0|M/S|40.0|1994-09-28T00:00:00|
KZ|KUR||BHN|50.714901|78.620796|240.0|0.0|0.0|0.0|STS2|25323000000.0|5.0|M/S|40.0|1994-09-28T00:00:00|
KZ|KUR||BHZ|50.714901|78.620796|240.0|0.0|0.0|-90.0|STS2|25323000000.0|5.0|M/S|40.0|1994-09-28T00:00:00|
KZ|KUR||HHE|50.715401|78.620201|184.0|25.0|90.0|0.0|STS2|786432000.0|5.0|M/S|100.0|1998-09-16T17:37:05|
KZ|KUR||HHN|50.715401|78.620201|184.0|25.0|0.0|0.0|STS2|786432000.0|5.0|M/S|100.0|1998-09-16T17:37:05|
KZ|KUR||HHZ|50.715401|78.620201|184.0|25.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|100.0|1998-09-16T17:37:05|
KZ|KUR01||BHZ|50.721611|78.563362|162.9|25.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR02||BHZ|50.701721|78.55661|167.2|36.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR03||BHZ|50.681969|78.550003|173.0|27.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR04||BHZ|50.662189|78.543388|175.6|27.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR05||BHZ|50.642361|78.536636|181.0|24.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR06||BHZ|50.602829|78.523941|194.1|20.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR07||BHZ|50.583061|78.51722|199.7|31.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR08||BHZ|50.563171|78.510803|198.6|35.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR09||BHZ|50.543331|78.504333|199.0|22.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR10||BHZ|50.523621|78.497726|203.3|31.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR11||BHZ|50.601891|78.686249|199.5|21.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR12||BHZ|50.60611|78.655144|202.3|29.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR13||BHZ|50.610222|78.624168|223.9|36.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR14||BHZ|50.614361|78.59272|216.6|34.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR15||BHZ|50.6185|78.56147|193.3|29.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR16||BHZ|50.626862|78.499329|193.3|29.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR17||BHZ|50.631748|78.469002|183.8|27.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR18||BHZ|50.635311|78.436829|191.1|45.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR19||BHZ|50.639439|78.405693|180.3|25.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR20||BHZ|50.643639|78.374557|181.9|40.0|0.0|-90.0|CMG3TV|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR21||BH1|50.622601|78.530403|199.8|42.0|34.0|0.0|CMG3-TB|10178100000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR21||BH2|50.622601|78.530403|199.8|42.0|124.0|0.0|CMG3-TB|10093800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KUR21||BHZ|50.622601|78.530403|199.8|42.0|0.0|-90.0|CMG3-TB|10237800000.0|1.0|M/S|40.0|2006-09-25T00:00:00|
KZ|KURK||BHE|50.715401|78.620201|184.0|25.0|87.7|0.0|Streckeisen STS-1H/VBB Seismometer|4162660000.0|0.05|V|20.0|2016-12-22T00:00:00|2019-09-01T11:59:59
KZ|KURK||BHN|50.715401|78.620201|184.0|25.0|355.1|0.0|Streckeisen STS-1H/VBB Seismometer|4054950000.0|0.05|V|20.0|2016-12-22T00:00:00|2019-09-01T11:59:59
KZ|KURK||BHZ|50.715401|78.620201|184.0|25.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|5299790000.0|0.05|V|20.0|2016-12-22T00:00:00|2019-09-01T11:59:59
KZ|KURK|00|BHE|50.715401|78.620201|184.0|25.0|90.0|0.0|Streckeisen STS-1H/VBB Seismometer|1574620000.0|1.0|M/S|20.0|2002-09-09T00:00:00|
KZ|KURK|00|BHN|50.715401|78.620201|184.0|25.0|0.0|0.0|Streckeisen STS-1H/VBB Seismometer|1591090000.0|1.0|M/S|20.0|2002-09-09T00:00:00|
KZ|KURK|00|BHZ|50.715401|78.620201|184.0|25.0|0.0|-90.0|Streckeisen STS-1V/VBB Seismometer|1625800000.0|1.0|M/S|20.0|2002-09-09T00:00:00|
KZ|MAK||BHE|46.807499|81.977402|600.0|0.0|90.0|0.0|STS2|25323000000.0|5.0|M/S|40.0|1997-09-01T11:45:02|
KZ|MAK||BHN|46.807499|81.977402|600.0|0.0|0.0|0.0|STS2|25323000000.0|5.0|M/S|40.0|1997-09-01T11:45:02|
KZ|MAK||BHZ|46.807499|81.977402|600.0|0.0|0.0|-90.0|STS2|25323000000.0|5.0|M/S|40.0|1997-09-01T11:45:02|
KZ|MAK||HHE|46.807499|81.977402|600.0|0.0|90.0|0.0|STS2|786432000.0|5.0|M/S|100.0|1998-08-22T02:17:00|
KZ|MAK||HHN|46.807499|81.977402|600.0|0.0|0.0|0.0|STS2|786432000.0|5.0|M/S|100.0|1998-08-22T02:17:00|
KZ|MAK||HHZ|46.807499|81.977402|600.0|0.0|0.0|-90.0|STS2|786432000.0|5.0|M/S|100.0|1998-08-22T02:17:00|
KZ|MAKZ||BHE|46.807999|81.976997|567.0|33.0|90.0|0.0|STS2|2447790000.0|0.02|M/S|40.0|2016-12-13T05:00:00|
KZ|MAKZ||BHN|46.807999|81.976997|567.0|33.0|0.0|0.0|STS2|2447790000.0|0.02|M/S|40.0|2016-12-13T05:00:00|
KZ|MAKZ||BHZ|46.807999|81.976997|567.0|33.0|0.0|-90.0|STS2|2447790000.0|0.02|M/S|40.0|2016-12-13T05:00:00|
KZ|MKAR||BHE|46.793701|82.290398|609.4|61.0|90.0|0.0|CMG3-TB|2571600000.0|1.0|M/S**2|40.0|2011-08-08T00:00:00|
KZ|MKAR||BHN|46.793701|82.290398|609.4|61.0|0.0|0.0|CMG3-TB|2671970000.0|1.0|M/S**2|40.0|2011-08-08T00:00:00|
KZ|MKAR||BHZ|46.793701|82.290398|609.4|61.0|0.0|-90.0|CMG3-TB|2466440000.0|1.0|M/S**2|40.0|2011-08-08T00:00:00|
KZ|OTUK||BHE|48.244301|73.337502|750.0|3.0|90.0|0.0|CMG3ESP|618047000.0|1.0|M/S|40.0|2014-05-24T00:00:00|
KZ|OTUK||BHN|48.244301|73.337502|750.0|3.0|0.0|0.0|CMG3ESP|618047000.0|1.0|M/S|40.0|2014-05-24T00:00:00|
KZ|OTUK||BHZ|48.244301|73.337502|750.0|3.0|0.0|-90.0|CMG3ESP|618047000.0|1.0|M/S|40.0|2014-05-24T00:00:00|
KZ|VOS||BHE|52.723202|70.979698|300.0|0.0|90.0|0.0|STS2|641025000.0|5.0|M/S|40.0|1999-05-13T06:50:58|
