time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2007-12-31T18:23:36.490Z, 41.11300, 71.94400,  17.20, KILOMETER,   5.0, mwc
2007-12-30T09:55:34.480Z, 36.40800, 84.53400,  40.00, KILOMETER,   5.0, mwc
2007-12-30T06:24:01.190Z, -19.45400, -173.84700,  29.80, KILOMETER,   5.7, mwc
2007-12-29T23:06:11.060Z, 52.37300, -168.44400,  29.10, KILOMETER,   5.1, mb
2007-12-29T22:58:02.210Z, 52.21000, -168.14900,  15.80, KILOMETER,   5.9, mwc
2007-12-29T20:55:20.970Z, -19.88100, -173.74000,  10.00, KILOMETER,   5.1, mwc
2007-12-28T21:59:42.150Z, -19.38700, -173.99100,  35.00, KILOMETER,   5.6, mwc
2007-12-28T18:03:37.900Z, -38.78000, 176.30000,  80.00, KILOMETER,   5.0, mb
2007-12-28T05:24:14.840Z, 5.41800, 95.66100,  20.90, KILOMETER,   5.4, mwc
2007-12-28T04:11:19.780Z, -13.61800, 166.56600,  35.00, KILOMETER,   5.6, mwc
2007-12-27T17:52:16.620Z, 9.59500, 126.14200,  77.10, KILOMETER,   5.2, mwc
2007-12-27T15:53:44.630Z, 51.65500, 178.61100,  84.90, KILOMETER,   5.2, mwc
2007-12-27T15:26:59.670Z, 52.26000, -168.29300,  15.30, KILOMETER,   5.2, mwc
2007-12-27T15:13:04.230Z, 52.24000, -168.33600,   8.80, KILOMETER,   5.4, mwc
2007-12-27T14:45:45.880Z, 52.28800, -168.42400,  10.00, KILOMETER,   5.2, mb
2007-12-27T14:44:23.630Z, 52.26700, -168.38300,  17.80, KILOMETER,   5.6, mwc
2007-12-27T11:44:29.050Z, -63.06500, 150.16100,  10.00, KILOMETER,   5.4, mwc
2007-12-27T08:07:03.600Z, -38.95000, 175.67000, 117.00, KILOMETER,   5.2, mb
2007-12-26T23:47:10.770Z, 39.44600, 33.16200,   8.30, KILOMETER,   5.6, mwc
2007-12-26T22:09:54.910Z, 52.46100, -168.19700,  37.00, KILOMETER,   5.2, mb
2007-12-26T22:04:54.670Z, 52.55800, -168.22100,  25.00, KILOMETER,   6.4, mwc
2007-12-26T17:12:51.840Z, -5.37700, 131.15000,  69.80, KILOMETER,   5.1, mwc
2007-12-26T08:20:42.410Z, -6.90700, 155.83500,  89.30, KILOMETER,   5.0, mwc
