time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2001-12-30T12:01:09.130Z, 24.00500, 126.94800,  38.10, KILOMETER,   5.0, mwc
2001-12-29T14:32:22.600Z, -6.00900, 102.84900,  33.00, KILOMETER,   5.6, mwc
2001-12-28T00:41:38.600Z, 24.12300, 122.77200,  10.00, KILOMETER,   5.1, mwc
2001-12-28T00:10:28.160Z, -11.42200, 117.11200,  33.00, KILOMETER,   5.0, mwc
2001-12-26T16:24:07.490Z, 2.24400, 126.63600,  33.00, KILOMETER,   5.2, mwc
2001-12-26T01:22:25.290Z, 40.63100, -29.38700,  10.00, KILOMETER,   5.1, mwc
2001-12-23T10:21:28.250Z, 27.87100, 141.75000,  35.40, KILOMETER,   5.9, mwc
2001-12-23T10:00:46.680Z, 2.88400, 128.37200,  33.10, KILOMETER,   5.4, mwc
2001-12-22T21:40:25.970Z, 24.07200, 122.69200,  10.00, KILOMETER,   5.2, mwc
2001-12-22T14:14:01.920Z, -40.16300, 45.39800,  10.00, KILOMETER,   5.0, mwc
2001-12-21T10:38:29.570Z, -6.35600, 154.45000,  60.00, KILOMETER,   5.2, mwc
2001-12-20T15:54:30.150Z, 49.21000, 156.19600,  33.00, KILOMETER,   5.0, mwc
2001-12-20T11:13:50.270Z, 54.17400, -162.54800,  33.00, KILOMETER,   5.6, mwc
2001-12-20T02:53:34.530Z, 14.53900, 54.13500,  10.00, KILOMETER,   5.0, mb
2001-12-18T12:07:54.450Z, 23.80800, 142.79400,  33.00, KILOMETER,   5.3, mwc
2001-12-18T05:13:33.890Z, 23.95000, 122.81600,  10.00, KILOMETER,   5.3, mb
2001-12-18T04:46:58.440Z, 24.02700, 122.83900,  10.00, KILOMETER,   5.0, mb
2001-12-18T04:02:58.280Z, 23.95400, 122.73400,  14.00, KILOMETER,   6.8, mwc
2001-12-18T02:09:53.440Z, 0.03800, 123.32200, 146.20, KILOMETER,   5.1, mwc
2001-12-16T17:05:03.400Z, -5.11000, 101.91600,  33.00, KILOMETER,   5.1, mwc
2001-12-14T05:08:25.000Z, 13.64600, 120.69000,  74.60, KILOMETER,   5.0, mb
2001-12-14T00:21:27.070Z, -4.16900, 142.39700, 110.40, KILOMETER,   5.3, mwc
2001-12-13T18:39:16.690Z, -5.94600, 147.46900, 107.90, KILOMETER,   5.2, mwc
2001-12-13T13:50:46.380Z, 27.04200, -44.49600,  10.00, KILOMETER,   5.7, mwc
2001-12-13T07:28:09.050Z, -42.69500, 124.84700,  10.00, KILOMETER,   5.4, mwc
2001-12-12T17:52:38.920Z, -42.67500, 124.89000,  10.00, KILOMETER,   5.2, mb
2001-12-12T14:02:35.040Z, -42.81300, 124.68800,  10.00, KILOMETER,   7.1, mwc
2001-12-11T17:56:30.220Z, 31.50900, 137.46300,  33.00, KILOMETER,   5.0, mb
2001-12-10T22:35:36.930Z, 2.81800, 128.28700,  33.00, KILOMETER,   5.2, mwc
2001-12-10T18:36:23.680Z, 49.26700, 156.19900,  33.00, KILOMETER,   5.0, mwc
2001-12-10T04:19:16.990Z, 49.10500, 156.27600,  33.00, KILOMETER,   5.1, mwc
2001-12-09T18:15:02.600Z, -0.00200, 122.87000, 156.30, KILOMETER,   6.1, mwc
2001-12-09T14:28:32.810Z, -6.80300, 147.54300,  69.40, KILOMETER,   5.4, mwc
2001-12-08T20:29:34.230Z, 28.25100, 129.57400,  33.00, KILOMETER,   6.2, mwc
2001-12-08T19:26:20.320Z, -5.82400, 147.38700, 112.70, KILOMETER,   5.5, mwc
2001-12-08T06:44:22.020Z, 80.84800, 0.76800,  10.00, KILOMETER,   5.3, mwc
2001-12-07T19:11:31.870Z, -5.64500, 130.74200, 111.30, KILOMETER,   5.6, mwc
2001-12-07T00:29:58.590Z, -6.07800, 148.51800,  55.30, KILOMETER,   5.4, mwc
2001-12-05T17:40:18.030Z, -4.97100, 152.00900,  92.60, KILOMETER,   5.4, mwc
2001-12-05T01:32:59.200Z, -2.98000, 130.16900,  33.00, KILOMETER,   5.3, mwc
2001-12-04T18:09:26.650Z, 18.96100, 120.24000,  33.00, KILOMETER,   5.6, mwc
2001-12-04T07:19:25.500Z, 3.71800, 97.79400, 139.10, KILOMETER,   5.1, mb
2001-12-02T13:01:53.670Z, 39.40200, 141.08900, 123.80, KILOMETER,   6.5, mwc
2001-12-01T20:42:28.500Z, 4.61900, 127.77700, 135.30, KILOMETER,   5.0, mb
2001-12-01T16:28:07.910Z, 43.66500, 147.47100,  55.30, KILOMETER,   5.0, mb
2001-12-01T05:09:03.480Z, -4.75900, 101.90300,  58.50, KILOMETER,   5.6, mwc
2001-11-30T15:22:05.990Z, -1.20300, 119.92200,  38.30, KILOMETER,   5.2, mwc
2001-11-28T17:58:25.360Z, -0.02300, 123.08900, 145.30, KILOMETER,   5.0, mb
2001-11-27T04:23:38.380Z, 44.62800, -28.19400,  10.00, KILOMETER,   5.1, mwc
2001-11-26T12:10:10.650Z, 39.19100, 143.04000,  33.00, KILOMETER,   5.2, mwc
2001-11-26T05:03:21.010Z, 34.82000, 24.28000,  33.00, KILOMETER,   5.3, mwc
2001-11-25T14:31:57.780Z, 23.03100, 125.36200,  10.00, KILOMETER,   5.6, mwc
2001-11-24T16:29:01.390Z, 33.06300, 141.03400,  55.10, KILOMETER,   5.1, mb
2001-11-24T02:56:48.810Z, 25.07700, 125.25600,  73.80, KILOMETER,   5.1, mwc
