time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2015-12-31T22:22:17.350Z, 51.67830, -173.48900,  39.85, KILOMETER,   5.0, mb
2015-12-31T21:29:38.860Z, -30.35840, -178.00740,  27.28, KILOMETER,   5.4, mb
2015-12-30T11:08:36.000Z, -21.97790, -174.47010,  46.15, KILOMETER,   5.0, mb
2015-12-29T01:51:41.550Z, -6.24520, 154.75950,  30.00, KILOMETER,   5.8, mww
2015-12-28T14:39:31.600Z, -5.19720, 152.79710,  35.00, KILOMETER,   5.1, mb
2015-12-26T11:00:52.980Z, 35.51640, 27.38620,  36.79, KILOMETER,   5.2, mww
2015-12-26T04:43:15.180Z, -42.00700, 84.55840,  10.00, KILOMETER,   5.4, mwb
2015-12-25T19:14:47.190Z, 36.49350, 71.12630, 206.00, KILOMETER,   6.3, mww
2015-12-25T07:43:50.000Z, -15.27920, 167.55450, 121.37, KILOMETER,   5.1, mb
2015-12-24T23:10:58.170Z, -7.21820, 128.97750, 119.00, KILOMETER,   5.8, mww
2015-12-24T20:18:42.680Z, -3.67260, 151.32130,  10.00, KILOMETER,   5.1, mb
2015-12-23T22:28:18.460Z, -17.33640, -173.73420,  10.00, KILOMETER,   5.3, mb
2015-12-23T15:36:53.550Z, -21.03070, 168.28960,   9.34, KILOMETER,   5.1, mb
2015-12-23T10:08:49.840Z, -6.87070, 155.05270,  34.08, KILOMETER,   5.0, mb
2015-12-23T06:43:21.960Z, 49.31280, 155.64910,  47.80, KILOMETER,   5.0, mb
2015-12-22T13:05:10.790Z, -28.31670, -176.42060,  10.00, KILOMETER,   5.2, mb
2015-12-21T15:44:04.830Z, -4.43540, 151.97820, 162.00, KILOMETER,   5.7, mwb
2015-12-21T12:37:12.300Z, -18.15670, -174.90550, 197.71, KILOMETER,   5.0, mb
2015-12-20T22:04:34.870Z, -6.27850, 154.67590,  52.89, KILOMETER,   5.0, mb
2015-12-20T07:29:11.010Z, -28.25310, -176.25670,  10.00, KILOMETER,   5.2, mb
2015-12-19T15:03:36.010Z, -8.36840, 107.02250,  27.00, KILOMETER,   5.7, mww
2015-12-19T02:10:53.360Z, -18.38190, 169.38570,  10.00, KILOMETER,   6.0, mww
2015-12-18T22:16:56.550Z, 29.39850, 81.65410,  10.00, KILOMETER,   5.4, mb
2015-12-18T22:14:09.200Z, -17.07190, -178.95740, 529.96, KILOMETER,   5.1, mb
2015-12-17T21:31:39.630Z, 47.97280, 146.85210, 443.02, KILOMETER,   5.4, mb
2015-12-16T20:38:37.090Z, -19.58270, -174.91100,  37.27, KILOMETER,   5.3, mb
2015-12-15T13:29:35.980Z, -15.62320, 167.28630,  28.53, KILOMETER,   5.2, mb
2015-12-14T22:56:17.210Z, -5.41320, 153.06640,  37.54, KILOMETER,   5.0, mb
2015-12-14T21:12:01.830Z, 52.83500, -167.92410,  46.67, KILOMETER,   5.2, mb
2015-12-13T06:42:09.130Z, -6.86810, 129.85860,  76.77, KILOMETER,   5.4, mb
2015-12-13T05:53:20.030Z, 54.97900, 111.64580,  12.30, KILOMETER,   5.1, mb
2015-12-13T01:52:17.690Z, 46.72430, 152.58640,  56.69, KILOMETER,   5.3, mb
2015-12-11T22:05:36.820Z, -47.61590, 85.16510,  10.00, KILOMETER,   5.0, mb
2015-12-11T03:20:48.820Z, -4.96190, 102.96600,  48.60, KILOMETER,   5.1, mww
2015-12-10T18:55:31.940Z, -5.42910, 129.42650, 254.45, KILOMETER,   5.0, mb
2015-12-10T15:03:26.410Z, -17.01790, 175.27940,  16.25, KILOMETER,   5.1, mb
2015-12-10T02:04:43.710Z, -4.23180, 129.54330,  30.22, KILOMETER,   5.2, mb
2015-12-09T21:52:42.200Z, -37.68990, 51.31460,  10.00, KILOMETER,   5.3, mb
2015-12-09T19:17:38.330Z, 38.37220, 72.85740,  10.00, KILOMETER,   5.0, mb
2015-12-09T13:32:56.090Z, -15.18330, -177.75970, 401.54, KILOMETER,   5.3, mb
2015-12-09T12:58:01.780Z, -16.73740, 175.24750,  10.00, KILOMETER,   6.1, mww
