time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2005-12-31T12:14:02.240Z, -28.98800, -71.51900,  25.00, KILOMETER,   5.0, mwc
2005-12-29T08:30:34.480Z, 27.36700, 139.85300, 472.30, KILOMETER,   5.3, mwc
2005-12-29T07:20:55.730Z, 25.01000, 96.19700,  12.00, KILOMETER,   5.1, mwc
2005-12-29T05:18:35.750Z, -6.00700, 151.64300,  35.10, KILOMETER,   5.2, mwc
2005-12-26T14:39:59.630Z, 12.15400, 140.94800,  52.60, KILOMETER,   5.1, mwc
2005-12-26T13:48:01.750Z, 26.82200, 140.64600,   7.40, KILOMETER,   5.7, mwb
2005-12-26T00:56:10.620Z, -38.95300, -73.18800,  29.80, KILOMETER,   5.1, mwc
2005-12-25T18:47:33.940Z, -59.43100, -25.02800,  55.00, KILOMETER,   5.3, mwc
2005-12-25T03:16:40.880Z, -4.49400, 102.90400,  44.20, KILOMETER,   5.0, mb
2005-12-24T04:09:45.550Z, -10.69700, 66.40400,  10.00, KILOMETER,   5.0, mwc
2005-12-23T21:32:13.780Z, 12.92800, 146.41800,  31.80, KILOMETER,   5.1, mwc
2005-12-22T12:20:02.940Z, -54.71900, -135.86800,  10.00, KILOMETER,   6.3, mwc
2005-12-22T06:39:26.200Z, -54.26000, -135.89800,  10.00, KILOMETER,   5.2, mwc
2005-12-22T04:28:23.590Z, -54.49600, -135.65900,  10.00, KILOMETER,   5.5, mwc
2005-12-21T22:35:18.840Z, -2.01100, 88.13300,  10.00, KILOMETER,   5.1, mwc
2005-12-21T22:19:46.220Z, -42.71300, -74.05800,  25.80, KILOMETER,   5.2, mwc
2005-12-21T07:09:05.170Z, -0.06600, 124.67200,  25.00, KILOMETER,   6.3, mwc
2005-12-21T05:26:42.860Z, -8.88200, 123.65300,  74.30, KILOMETER,   5.0, mb
2005-12-20T22:58:03.740Z, 37.92000, 143.31100,  28.00, KILOMETER,   5.0, mwc
2005-12-20T16:05:40.650Z, 12.23800, 140.94000,  29.00, KILOMETER,   5.3, mwc
2005-12-20T11:48:38.730Z, -17.70200, -174.02800,  20.00, KILOMETER,   5.0, mwc
2005-12-20T05:51:12.560Z, 12.23200, 140.99500,  22.80, KILOMETER,   6.1, mwb
2005-12-20T05:34:41.710Z, 34.52900, 136.62900, 354.40, KILOMETER,   5.0, mwr
2005-12-20T00:57:57.960Z, -3.91500, 151.27100,  66.00, KILOMETER,   5.3, mwc
2005-12-19T13:33:23.410Z, 26.85100, 140.67700, 140.10, KILOMETER,   5.0, mwr
2005-12-18T17:22:33.880Z, -22.96600, -175.93600,  30.00, KILOMETER,   5.0, mwc
2005-12-18T09:09:53.560Z, -21.91700, -174.60100,  30.80, KILOMETER,   5.1, mwc
2005-12-18T04:29:16.010Z, 12.21800, 141.00200,  28.10, KILOMETER,   5.2, mwc
2005-12-18T04:23:10.010Z, 2.84200, 95.91600,  18.20, KILOMETER,   5.7, mwb
2005-12-17T10:54:07.270Z, -14.70000, 167.92800,  32.70, KILOMETER,   5.2, mwc
2005-12-17T10:41:15.350Z, -14.72600, 167.87400,  39.30, KILOMETER,   5.2, mwc
2005-12-16T18:32:16.420Z, 38.50600, 141.90000,  42.90, KILOMETER,   6.0, mwc
2005-12-16T14:33:33.660Z, -17.62900, -176.72400,  20.00, KILOMETER,   5.2, mwc
2005-12-15T23:07:15.520Z, 12.23300, 141.03100,  40.30, KILOMETER,   5.0, mwc
2005-12-14T10:52:08.580Z, -31.04800, -71.61100,  57.20, KILOMETER,   5.3, mwc
2005-12-14T09:20:31.220Z, -14.60000, 168.01000,  10.00, KILOMETER,   5.0, mwc
2005-12-14T06:45:41.940Z, -14.59600, 167.92800,  10.00, KILOMETER,   5.6, mwc
2005-12-13T07:32:30.930Z, -15.33200, -178.41000,  10.00, KILOMETER,   5.2, mwc
2005-12-13T03:16:06.380Z, -15.26500, -178.57100,  10.00, KILOMETER,   6.7, mwb
2005-12-12T21:01:40.630Z, 43.20600, 139.32900,  26.40, KILOMETER,   5.4, mwb
2005-12-12T14:13:22.350Z, -8.63500, 157.19100,  35.10, KILOMETER,   5.4, mwc
2005-12-12T04:50:47.860Z, -22.16700, -176.47200, 139.70, KILOMETER,   5.3, mwc
2005-12-12T02:52:31.640Z, -1.19600, 99.77900,  30.00, KILOMETER,   5.2, mb
2005-12-11T16:23:35.520Z, 14.01800, 120.71700, 201.60, KILOMETER,   5.6, mwc
2005-12-11T14:20:45.000Z, -6.58400, 152.22300,  17.00, KILOMETER,   6.6, mwc
2005-12-11T05:55:12.950Z, -7.87200, 129.02200,  35.00, KILOMETER,   5.5, mwc
2005-12-08T09:01:27.110Z, -5.40800, 146.95300, 216.80, KILOMETER,   6.1, mwb
2005-12-07T19:34:18.700Z, -17.12600, -176.98900,  29.40, KILOMETER,   5.4, mwc
2005-12-07T02:19:28.340Z, 1.36300, 97.20200,  30.00, KILOMETER,   5.1, mwc
2005-12-05T05:59:45.600Z, -5.40700, 142.00600,  10.00, KILOMETER,   5.5, mwb
2005-12-05T04:46:48.940Z, 3.40400, 95.26700,  32.30, KILOMETER,   5.0, mwc
2005-12-04T22:20:27.460Z, 37.88400, 142.44300,  35.20, KILOMETER,   5.2, mwc
2005-12-04T21:13:22.080Z, -6.07100, 154.41700,  56.50, KILOMETER,   5.0, mb
2005-12-04T18:03:17.640Z, 40.14300, 142.63900,  45.70, KILOMETER,   5.0, mwc
2005-12-04T10:23:19.740Z, 29.37500, 130.37200,  27.30, KILOMETER,   5.0, mwc
2005-12-04T02:49:23.760Z, -23.42900, -176.16700,  31.80, KILOMETER,   5.4, mwc
2005-12-04T00:09:12.870Z, 12.20600, 141.01100,  52.00, KILOMETER,   5.0, mwc
2005-12-03T20:38:11.860Z, 12.19000, 141.00800,  10.00, KILOMETER,   5.7, mwc
2005-12-03T17:05:45.790Z, -5.95300, 150.49400,  59.10, KILOMETER,   5.1, mwc
2005-12-03T16:48:56.160Z, 29.36100, 130.39600,  30.60, KILOMETER,   5.2, mwc
